0,[]
1,[0]
2,[0]
3,[0]
4,[0]
5,[0]
6,[0]
7,[0]
8,[0]
9,[0]
10,[0]
11,[0]
12,[0]
13,[0]
14,[0]
15,[0]
16,[0]
17,[0]
18,[0]
19,[0]
20,[0]
21,[0]
22,[0]
23,[0]
24,[0]
25,[0]
26,[0]
27,[0]
28,[0]
29,[0]
30,[0]
31,[0]
32,[0]
33,[0]
34,[0]
35,[0]
36,[0]
37,[0]
38,[0]
39,[0]
40,[0]
41,[0]
42,[0]
43,[0]
44,[0]
45,[1]
46,[0]
47,[0]
48,[1]
49,[1]
50,[2]
51,[2]
52,"[7, 2]"
53,"[9, 3]"
54,"[10, 3]"
55,[2]
56,"[1, 2]"
57,"[4, 8]"
58,[3]
59,"[10, 11]"
60,[3]
61,"[7, 12]"
62,"[2, 12]"
63,"[12, 2]"
64,"[3, 4]"
65,"[17, 5]"
66,"[6, 1]"
67,[1]
68,"[16, 7]"
69,"[9, 11]"
70,"[1, 7]"
71,"[10, 4]"
72,"[12, 22]"
73,"[12, 22]"
74,"[2, 20]"
75,"[3, 27]"
76,"[20, 25]"
77,"[12, 25]"
78,"[21, 18]"
79,"[3, 4]"
80,"[32, 2]"
81,"[11, 27]"
82,"[11, 29]"
83,"[33, 3]"
84,[19]
85,"[17, 5]"
86,"[5, 34]"
87,"[25, 20]"
88,"[4, 27]"
89,"[33, 3]"
90,"[3, 11]"
91,"[21, 2]"
92,"[20, 2]"
93,"[14, 35]"
94,[3]
95,"[10, 24]"
96,"[40, 47]"
97,"[10, 8]"
98,"[47, 36]"
99,"[34, 28]"
100,"[3, 19]"
